seed_id,target_id,source_ideology,source_topic,rank,condition
PrfaI9z0mGU,2y-7CZF0qnM,anti_feminism,dating_marriage,2,anti_profile
PrfaI9z0mGU,5bD3xJ3MDf4,anti_feminism,dating_marriage,3,anti_profile
PrfaI9z0mGU,2xE00wGzy1M,anti_feminism,dating_marriage,4,anti_profile
PrfaI9z0mGU,KCOyva7wgVs,anti_feminism,dating_marriage,5,anti_profile
PrfaI9z0mGU,FDbx2ACTIgY,anti_feminism,dating_marriage,6,anti_profile
PrfaI9z0mGU,s27qp6CL5DM,anti_feminism,dating_marriage,7,anti_profile
PrfaI9z0mGU,oO9bNvepZfU,anti_feminism,dating_marriage,8,anti_profile
PrfaI9z0mGU,jF5H_9B_RwQ,anti_feminism,dating_marriage,9,anti_profile
PrfaI9z0mGU,DKrK3oXyMes,anti_feminism,dating_marriage,10,anti_profile
PrfaI9z0mGU,tV17VtAcw9M,anti_feminism,dating_marriage,11,anti_profile
PrfaI9z0mGU,Cr-4KwESJoo,anti_feminism,dating_marriage,12,anti_profile
PrfaI9z0mGU,6P4iYOBw-sQ,anti_feminism,dating_marriage,13,anti_profile
PrfaI9z0mGU,xUwikz7-wEg,anti_feminism,dating_marriage,14,anti_profile
PrfaI9z0mGU,4Sj2DG3wNvs,anti_feminism,dating_marriage,15,anti_profile
PrfaI9z0mGU,ZeT1skHOXOA,anti_feminism,dating_marriage,16,anti_profile
PrfaI9z0mGU,RcyfTndrlYY,anti_feminism,dating_marriage,17,anti_profile
PrfaI9z0mGU,vNBhTsr1m30,anti_feminism,dating_marriage,18,anti_profile
PrfaI9z0mGU,-ErDs1gsz6w,anti_feminism,dating_marriage,19,anti_profile
PrfaI9z0mGU,dj_QzDTRg5g,anti_feminism,dating_marriage,20,anti_profile
rDWTEVUfEcY,Kd0AnbxYFQ0,anti_feminism,gender_conflict_discourse,1,anti_profile
rDWTEVUfEcY,LpWVunRgmrA,anti_feminism,gender_conflict_discourse,2,anti_profile
rDWTEVUfEcY,LclWjFGSomw,anti_feminism,gender_conflict_discourse,3,anti_profile
rDWTEVUfEcY,vNBhTsr1m30,anti_feminism,gender_conflict_discourse,4,anti_profile
rDWTEVUfEcY,spj_nWAf0d4,anti_feminism,gender_conflict_discourse,5,anti_profile
rDWTEVUfEcY,tV17VtAcw9M,anti_feminism,gender_conflict_discourse,6,anti_profile
rDWTEVUfEcY,rJGCjSYSo-k,anti_feminism,gender_conflict_discourse,7,anti_profile
rDWTEVUfEcY,gs-h6oFgcQY,anti_feminism,gender_conflict_discourse,8,anti_profile
rDWTEVUfEcY,nTjUCO6DWj8,anti_feminism,gender_conflict_discourse,9,anti_profile
rDWTEVUfEcY,qYyoggbRY34,anti_feminism,gender_conflict_discourse,10,anti_profile
rDWTEVUfEcY,NeDrIyYOWk8,anti_feminism,gender_conflict_discourse,11,anti_profile
rDWTEVUfEcY,JQTnSR0yH2Q,anti_feminism,gender_conflict_discourse,12,anti_profile
rDWTEVUfEcY,tVrwivMmmE4,anti_feminism,gender_conflict_discourse,13,anti_profile
rDWTEVUfEcY,ZPk-6asr_Lc,anti_feminism,gender_conflict_discourse,14,anti_profile
rDWTEVUfEcY,d7XzJN0ktXo,anti_feminism,gender_conflict_discourse,15,anti_profile
rDWTEVUfEcY,cSjNCIlJt-U,anti_feminism,gender_conflict_discourse,16,anti_profile
rDWTEVUfEcY,MiRO29jPhwM,anti_feminism,gender_conflict_discourse,17,anti_profile
rDWTEVUfEcY,izEiVz7uGcc,anti_feminism,gender_conflict_discourse,18,anti_profile
rDWTEVUfEcY,mnsVlIUXB2w,anti_feminism,gender_conflict_discourse,19,anti_profile
rDWTEVUfEcY,7qDEs2E6uvw,anti_feminism,gender_conflict_discourse,20,anti_profile
zaUVwiD2keU,tV17VtAcw9M,anti_feminism,gender_conflict_discourse,1,anti_profile
zaUVwiD2keU,gs-h6oFgcQY,anti_feminism,gender_conflict_discourse,2,anti_profile
zaUVwiD2keU,QEnwaVUNCaU,anti_feminism,gender_conflict_discourse,3,anti_profile
zaUVwiD2keU,AYQHrNxNu8Y,anti_feminism,gender_conflict_discourse,4,anti_profile
zaUVwiD2keU,iQlK9nwsOA4,anti_feminism,gender_conflict_discourse,5,anti_profile
zaUVwiD2keU,vNBhTsr1m30,anti_feminism,gender_conflict_discourse,6,anti_profile
zaUVwiD2keU,ZPk-6asr_Lc,anti_feminism,gender_conflict_discourse,7,anti_profile
zaUVwiD2keU,2xE00wGzy1M,anti_feminism,gender_conflict_discourse,8,anti_profile
zaUVwiD2keU,xUwikz7-wEg,anti_feminism,gender_conflict_discourse,9,anti_profile
zaUVwiD2keU,izEiVz7uGcc,anti_feminism,gender_conflict_discourse,10,anti_profile
zaUVwiD2keU,sVvp_DPgFZE,anti_feminism,gender_conflict_discourse,11,anti_profile
zaUVwiD2keU,dj_QzDTRg5g,anti_feminism,gender_conflict_discourse,12,anti_profile
zaUVwiD2keU,LclWjFGSomw,anti_feminism,gender_conflict_discourse,13,anti_profile
zaUVwiD2keU,JQTnSR0yH2Q,anti_feminism,gender_conflict_discourse,14,anti_profile
zaUVwiD2keU,pZws_AxGxP0,anti_feminism,gender_conflict_discourse,15,anti_profile
zaUVwiD2keU,MikbGE4YClE,anti_feminism,gender_conflict_discourse,16,anti_profile
zaUVwiD2keU,MbJQ5twZTi4,anti_feminism,gender_conflict_discourse,17,anti_profile
zaUVwiD2keU,xnwR7j_S1b0,anti_feminism,gender_conflict_discourse,18,anti_profile
zaUVwiD2keU,cHT6T04cRCk,anti_feminism,gender_conflict_discourse,19,anti_profile
zaUVwiD2keU,jF5H_9B_RwQ,anti_feminism,gender_conflict_discourse,20,anti_profile
2F4R2yv9Vv0,36zNS1gtCrM,anti_feminism,electoral_generational_conflict,1,anti_profile
2F4R2yv9Vv0,F5wV7EZ9CjU,anti_feminism,electoral_generational_conflict,2,anti_profile
2F4R2yv9Vv0,c3KVhck4658,anti_feminism,electoral_generational_conflict,3,anti_profile
2F4R2yv9Vv0,w3BzZbNBndc,anti_feminism,electoral_generational_conflict,4,anti_profile
2F4R2yv9Vv0,BPfaGBehW98,anti_feminism,electoral_generational_conflict,5,anti_profile
2F4R2yv9Vv0,vNBhTsr1m30,anti_feminism,electoral_generational_conflict,6,anti_profile
2F4R2yv9Vv0,mnsVlIUXB2w,anti_feminism,electoral_generational_conflict,7,anti_profile
2F4R2yv9Vv0,naV77UkAbng,anti_feminism,electoral_generational_conflict,8,anti_profile
2F4R2yv9Vv0,QEzaxehny-Q,anti_feminism,electoral_generational_conflict,9,anti_profile
2F4R2yv9Vv0,tV17VtAcw9M,anti_feminism,electoral_generational_conflict,10,anti_profile
2F4R2yv9Vv0,ZeT1skHOXOA,anti_feminism,electoral_generational_conflict,11,anti_profile
2F4R2yv9Vv0,MbJQ5twZTi4,anti_feminism,electoral_generational_conflict,12,anti_profile
2F4R2yv9Vv0,DKrK3oXyMes,anti_feminism,electoral_generational_conflict,13,anti_profile
2F4R2yv9Vv0,FDM0kDVSf1k,anti_feminism,electoral_generational_conflict,14,anti_profile
2F4R2yv9Vv0,iCBIV-wcd_c,anti_feminism,electoral_generational_conflict,15,anti_profile
2F4R2yv9Vv0,fxP_yKL_nE8,anti_feminism,electoral_generational_conflict,16,anti_profile
