seed_id,target_id,source_ideology,source_topic,rank,condition
sQvZbI80IvQ,n1GqTdf9RvM,feminism,gender_conflict_discourse,16,baseline 
sQvZbI80IvQ,ToJO0Umf-6c,feminism,gender_conflict_discourse,17,baseline 
sQvZbI80IvQ,HaYNqWBaanI,feminism,gender_conflict_discourse,18,baseline 
sQvZbI80IvQ,skMJbOLdo5E,feminism,gender_conflict_discourse,19,baseline 
sQvZbI80IvQ,3DOWKeoeskU,feminism,gender_conflict_discourse,20,baseline 
5FOC-0P0UMw,aGMEoG7apms,feminism,gender_conflict_discourse,1,baseline 
5FOC-0P0UMw,KwQGipFqFjI,feminism,gender_conflict_discourse,2,baseline 
5FOC-0P0UMw,W_ChhnAM7GY,feminism,gender_conflict_discourse,3,baseline 
5FOC-0P0UMw,hiwVgLlZ4r4,feminism,gender_conflict_discourse,4,baseline 
5FOC-0P0UMw,wcDARQ7emv4,feminism,gender_conflict_discourse,5,baseline 
5FOC-0P0UMw,hKIYrlM2csA,feminism,gender_conflict_discourse,6,baseline 
5FOC-0P0UMw,muEOOUe9YSI,feminism,gender_conflict_discourse,7,baseline 
5FOC-0P0UMw,dQRKL4BxrEM,feminism,gender_conflict_discourse,8,baseline 
5FOC-0P0UMw,UygkOVbQyHM,feminism,gender_conflict_discourse,9,baseline 
5FOC-0P0UMw,I3BTokVVH9U,feminism,gender_conflict_discourse,10,baseline 
5FOC-0P0UMw,WY8VfgiXYn8,feminism,gender_conflict_discourse,11,baseline 
5FOC-0P0UMw,ERxtacu4Omw,feminism,gender_conflict_discourse,12,baseline 
5FOC-0P0UMw,u_oPIkQzmbw,feminism,gender_conflict_discourse,13,baseline 
5FOC-0P0UMw,veaFGGu31EQ,feminism,gender_conflict_discourse,14,baseline 
5FOC-0P0UMw,tyyPeEF6vS8,feminism,gender_conflict_discourse,15,baseline 
5FOC-0P0UMw,oWDVTIc5Hf8,feminism,gender_conflict_discourse,16,baseline 
5FOC-0P0UMw,qnGl7bIrFHI,feminism,gender_conflict_discourse,17,baseline 
