seed_id,target_id,source_ideology,source_topic,rank,condition
PrfaI9z0mGU,4Sj2DG3wNvs,anti_feminism,dating_marriage,4,baseline 
PrfaI9z0mGU,PnJrE6f7mxg,anti_feminism,dating_marriage,5,baseline 
PrfaI9z0mGU,SEa-3AoIs8w,anti_feminism,dating_marriage,6,baseline 
PrfaI9z0mGU,vRGU8oZm5AM,anti_feminism,dating_marriage,7,baseline 
PrfaI9z0mGU,FOQDoa72Nic,anti_feminism,dating_marriage,8,baseline 
PrfaI9z0mGU,qVC0RtJNSP8,anti_feminism,dating_marriage,9,baseline 
PrfaI9z0mGU,IEEsArxoSoo,anti_feminism,dating_marriage,10,baseline 
PrfaI9z0mGU,ijo_ACGCwo0,anti_feminism,dating_marriage,11,baseline 
PrfaI9z0mGU,Cr-4KwESJoo,anti_feminism,dating_marriage,12,baseline 
PrfaI9z0mGU,KCc3vLhsfOo,anti_feminism,dating_marriage,13,baseline 
PrfaI9z0mGU,flN8J8RZuug,anti_feminism,dating_marriage,14,baseline 
PrfaI9z0mGU,6QeqLwOefiw,anti_feminism,dating_marriage,15,baseline 
PrfaI9z0mGU,tkRUJodjLsY,anti_feminism,dating_marriage,16,baseline 
PrfaI9z0mGU,oO9bNvepZfU,anti_feminism,dating_marriage,17,baseline 
PrfaI9z0mGU,V4TSURKTRXU,anti_feminism,dating_marriage,18,baseline 
PrfaI9z0mGU,nnf0YvdmAmw,anti_feminism,dating_marriage,19,baseline 
PrfaI9z0mGU,aivgiHXmc_I,anti_feminism,dating_marriage,20,baseline 
rDWTEVUfEcY,QUNyw8Ca90E,anti_feminism,gender_conflict_discourse,1,baseline 
rDWTEVUfEcY,04zCXTKuMMk,anti_feminism,gender_conflict_discourse,2,baseline 
rDWTEVUfEcY,oWDVTIc5Hf8,anti_feminism,gender_conflict_discourse,3,baseline 
rDWTEVUfEcY,dj_QzDTRg5g,anti_feminism,gender_conflict_discourse,4,baseline 
rDWTEVUfEcY,08PlDdDmEDI,anti_feminism,gender_conflict_discourse,5,baseline 
rDWTEVUfEcY,oGeXDTgU1AM,anti_feminism,gender_conflict_discourse,6,baseline 
rDWTEVUfEcY,MFllCjqGHRo,anti_feminism,gender_conflict_discourse,7,baseline 
rDWTEVUfEcY,LKJMwzcWctQ,anti_feminism,gender_conflict_discourse,8,baseline 
rDWTEVUfEcY,Jk0n1Bn9R8M,anti_feminism,gender_conflict_discourse,9,baseline 
rDWTEVUfEcY,XCpZ-6_8zDQ,anti_feminism,gender_conflict_discourse,10,baseline 
